DHSID_EA,relevance_score,most_relevant_sentences
SZ-2006-5#-00000189,1.0,"Van Eck Dam is an artificial reservoir within the Mhlosinga Nature Reserve, near Big Bend in the Lubombo District of Eswatini. It has been recognised as a wetland of international importance under the Ramsar Convention."
SZ-2006-5#-00000153,1.0,Subsequent deaths after the methane explosion were caused by coal dust igniting that had not been watered down due to insufficient water supply and the non-fireproof  brattice cloth.
SZ-2006-5#-00000155,2.0,"During 2019 the municipality's main water treatment plant in Standerton was in disrepair and was causing pollution of the upper Vaal River. Some areas had been without water for months or years, while others received dirty water."
SZ-2006-5#-00000162,1.0,"Driekoppies Dam is a gravity/earth-fill type dam on the Lomati River, near Malelane, Mpumalanga, South Africa."
SZ-2006-5#-00000079,2.0,"Flag Boshielo Dam is a water reservoir on the Olifants River, near Marble Hall, Limpopo, South Africa."
SZ-2006-5#-00000128,1.0,Goedertrouw Dam is an earth-filled dam in South Africa. It currently has a capacity of 301 million m3 and is principally for provision of water to the industrial complex at Richards Bay. It serves also as reservoir for irrigation and domestic use. The hazard potential of the dam has been ranked high (3).
SZ-2006-5#-00000155,2.0,"The dam was completed in 1982 and was built primarily to support the water needs of the SASOL I, II and III coal to petrol plants at Secunda, Eskom's Tutuka Power Station as well as the Matla Power Station, Duvha Power Station, Kendal Power Station and Kriel Power Station located on the coal fields in the adjacent Olifants River basin. During the serious drought of 1983, the water resources in the adjacent Komati River and Usutu River basins were badly depleted, leading to serious concerns that the water supplies to various power stations could be affected. Any water shortages to the power stations would be disastrous for South Africa since 80% of the country's electricity is dependent on water from the Komati-Usutu-Vaal system."
SZ-2006-5#-00000155,1.0,"Heyshope Dam is a zoned earth-fill type dam located on the Assegaai River, Mpumalanga, South Africa. The hazard potential of the dam construction has been ranked high (3)."
SZ-2006-5#-00000268,2.0,"The scheme stretches 64 km to the north of this town, including 148 km on 2 main pipes and 330 km of branch lines irrigating 19,000 ha; 250 km of drainage canals return excess water from farm to river."
SZ-2006-5#-00000181,1.0,Nooitgedacht Dam is an earth-fill type dam located on the Komati River in South Africa. The hazard potential of the dam has been ranked high (3).
SZ-2006-5#-00000140,1.0,"Ohrigstad Dam is a rockfill type dam located close to Ohrigstad in Mpumalanga, South Africa. The hazard potential of the dam has been ranked high (3)."
SZ-2006-5#-00000185,3.0,The Pongola Rivers major form of pollution is agricultural pesticides which make their way into the river due to the heavy use of land for agriculture above the dam.
SZ-2006-5#-00000268,2.0,"It is located on the Elands River, part of the Olifants River basin.Olifants WMA 4 The dam was established in 1984.List of South African Dams from the Department of Water Affairs  The dam mainly serves for municipal and industrial use and its hazard potential has been ranked high (3)."
SZ-2006-5#-00000181,1.0,Witbank Dam is a buttress type dam located on the Olifants River in South Africa. It was established in 1971 and serves mainly for municipal and industrial water supply purposes. The hazard potential of the dam has been ranked high (3).
SZ-2006-5#-00000155,2.0,The dam serves primarily for municipal and industrial water supply purposes.
SZ-2006-5#-00000140,1.0,"Da Gama Dam, is an earthfill/gravity-type dam on the Witwaters River, near White River, Mpumalanga, South Africa."
SZ-2006-5#-00000140,1.0,"Injaka Dam, also spelled Inyaka Dam is an earth-fill type dam located on the Ngwaritsane River, near Bushbuckridge, Mpumalanga, South Africa. It was established in 2001 and its primary purpose is to store water for irrigation use. The hazard potential of the dam has been ranked as high (3)."
SZ-2006-5#-00000155,1.0,"Jericho Dam is a combined concrete gravity and earth-fill type dam located on the Mpama River, near Amsterdam, Mpumalanga, South Africa."
SZ-2006-5#-00000140,1.0,"Klipkopjes Dam is an earth-fill type dam located on the White River, near the town of White River, Mpumalanga, South Africa. The hazard potential of the dam has been ranked high (3)."
SZ-2006-5#-00000181,1.0,"thumb|left|Shores of Klipvoor Dam Klipvoor Dam is a concrete gravity type dam located on the Moretele River, 55 km north of Brits, North West, South Africa. It was established in 1970.List of South African Dams from the Department of Water Affairs The main purpose of the dam is to serve for irrigation and its hazard potential has been ranked as high (3). The Klipvoor Dam is one of the good fishing spots of the Borakalalo Game Reserve, located north of the dam."
SZ-2006-5#-00000181,1.0,"Kromfonteinlower (Wilge) Cofferdam is a rockfill type dam located on the Steenkool Spruit, near Witbank, Mpumalanga, South Africa. It was established in 1992 and its primary purpose is to serve for river diversion. The hazard potential of the dam has been ranked significant (2)."
SZ-2006-5#-00000181,1.0,"Kromfontein Middle Cofferdam is an earthfill type dam located on the Steenkool Spruit, near Witbank, Mpumalanga, South Africa. It was established in 1990 and serves primarily for flood storage (retention) and river diversion. The hazard potential of the dam has been ranked significant (2)."
SZ-2006-5#-00000008,1.0,There were slower rates of change during the later Pleistocene and a total absence of seepage water through the walls.
SZ-2006-5#-00000185,1.0,"Lake Mzingazi Dam is a dam on the Mzingazi River, near Richards Bay, KwaZulu-Natal, South Africa."
SZ-2006-5#-00000181,2.0,Construction was completed in 1978.List of South African Dams from the Department of Water Affairs and Forestry (South Africa) The primary purpose of the dam is to serve for water supply and its hazard potential has been ranked high (3).
SZ-2006-5#-00000155,1.0,"Morgenstond Dam is an earth-fill type dam located on the Ngwempisi River, near Amsterdam, Mpumalanga, South Africa."
SZ-2006-5#-00000079,1.0,"Ngodwana Dam is an earth-fill type dam located on the Ngodwana River, near Nelspruit, Mpumalanga, South Africa. The hazard potential of the dam has been ranked high (3)."
SZ-2006-5#-00000153,1.0,"On 11 January, the day after the British ultimatum to the Zulus expired, the column crossed the river and encamped on the Zulu bank. At about 4:00 pm, Surgeon James Reynolds, Otto Witt – the Swedish missionary who ran the mission at Rorke's Drift – and army chaplain Reverend George Smith came down from the Oscarberg hillside with the news that a body of Zulus was fording the river to the southeast and was ""no more than five minutes away""."
SZ-2006-5#-00000140,2.0,"thumb|right|300px|The Treur River at its confluence with the Blyde at Bourke's Luck Potholes The Treur River (from Afrikaans: mourning river) is a small river in the Drakensberg escarpment region of eastern Mpumalanga province, South Africa. In 1844, while still under the misapprehension that Hendrik Potgieter and his party had perished on their journey to Delagoa Bay, their distraught relatives named the river near their encampment, Treurrivier, or 'mourning river'."
